cluster	Exp
EOG725PCD	164.0663751
EOG725PCF	298.3850366
EOG725PCG	391.0244896
EOG725PCH	261.1132491
EOG725PCJ	684.827228
EOG725PCN	327.6619488
EOG725PCP	0.442195854
EOG725PCS	21.27565811
EOG725PCT	0.493698618
EOG725PD7	1.179106076
EOG728JKF	236.2266874
EOG728JKG	4.282219668
EOG728JKH	39.06606213
EOG728JKJ	404.318533
EOG728JKK	4.466720453
EOG728JKM	9.275956098
EOG728JKN	27.98648096
EOG728JKP	127.2953344
EOG728JKQ	10.47111428
EOG728JKR	18.48875102
EOG728JKS	37.65499007
EOG728JKT	130.4488899
EOG728JKV	13.72722726
EOG728JKW	2.120648499
EOG728JKX	221.3321183
EOG728JKZ	34.98213378
EOG728JM0	61.94673208
EOG728JM1	137.5964841
EOG728JM2	85.83075406
EOG728JM3	120.8860972
EOG728JM4	169.0590882
EOG728JM5	174.1983662
EOG728JM6	144.3905464
EOG728JM7	102.835492
EOG728JM8	2.463773879
EOG728JM9	48.53604007
EOG728JMB	32.38107878
EOG728JMC	3677.967035
EOG728JMD	1.763463605
EOG728JMF	55.18232586
EOG728JMG	3.902304273
EOG728JMH	39.01760632
EOG728JMJ	40.23370202
EOG728JMK	2.815512627
EOG728JMM	105.0365698
EOG728JMN	379.4648535
EOG728JMP	242.5467382
EOG72CDT9	7.753564701
EOG72CDTB	102.3464612
EOG72CDTC	445.6943903
EOG72CDTD	19.2401435
EOG72CDTF	124.908148
EOG72CDTG	46.00073106
EOG72CDTH	18.78484293
EOG72CDTJ	248.3155326
EOG72CDTK	66.81446114
EOG72CDTM	104.0609385
EOG72CDTN	33.50441022
EOG72CDTQ	65.28626607
EOG72CDTR	341.7228593
EOG72CDTS	10.58937555
EOG72CDTT	241.8433267
EOG72CDTV	314.3496806
EOG72CDTW	176.7541143
EOG72CDTX	43.32015856
EOG72CDTZ	178.8494188
EOG72CDV0	64.63146165
EOG72CDV1	6.288909689
EOG72CDV3	143.0898568
EOG72CDV4	31.71243326
EOG72CDV5	133.4802728
EOG72CDV6	44.29157054
EOG72CDV7	13.53661135
EOG72CDV8	1.135524846
EOG72CDV9	573.8848405
EOG72CDVB	1514.560031
EOG72CDVC	3.025495836
EOG72CDVD	7.127689314
EOG72CDVF	5.271379565
EOG72CDVH	0.438082497
EOG72CDVK	25.68822464
EOG72CDVN	8.546706228
EOG72G929	0.552069287
EOG72G92B	48.60124979
EOG72G92C	85.34675229
EOG72G92D	31.16207318
EOG72G92F	35.98133288
EOG72G92G	13.47582589
EOG72G92H	18.78301925
EOG72G92J	60.33902526
EOG72G92K	51.60642558
EOG72G92M	91.88111828
EOG72G92N	0.476568265
EOG72G92P	17.45934046
EOG72G92Q	17.62720095
EOG72G92R	15.69418453
EOG72G92S	217.769199
EOG72G92T	0.693268486
EOG72G92V	88.10919545
EOG72G92W	151.108773
EOG72G92X	3.46729688
EOG72G92Z	120.8135696
EOG72G931	3.721297446
EOG72G932	169.2460894
EOG72G934	221.0425739
EOG72G935	94.6547808
EOG72G936	36.51314053
EOG72G937	689.0229693
EOG72G938	1240.122719
EOG72G939	81.46224579
EOG72G93C	36.88515529
EOG72G93D	47.61844108
EOG72G93F	3.819895334
EOG72G93G	19.10117891
EOG72G93J	3.909078568
EOG72G93M	2558.533433
EOG72K597	8.265777641
EOG72K598	24.55875936
EOG72K599	41.09619456
EOG72K59B	34.73127393
EOG72K59C	78.07892228
EOG72K59D	48.03809793
EOG72K59F	48.2544251
EOG72K59G	15.04458299
EOG72K59H	173.5808923
EOG72K59J	54.43005794
EOG72K59K	13.60059197
EOG72K59M	75.51433498
EOG72K59N	24.59781389
EOG72K59P	121.3722694
EOG72K59Q	49.54830492
EOG72K59R	106.8400539
EOG72K59S	109.3681841
EOG72K59T	45.75422744
EOG72K59V	6.955036646
EOG72K59X	201.3265783
EOG72K59Z	1.087933254
EOG72K5B0	47.52861157
EOG72K5B1	89.73715018
EOG72K5B2	84.84605665
EOG72K5B3	176.6116887
EOG72K5B4	1.569875909
EOG72K5B5	206.2109713
EOG72K5B6	468.8836398
EOG72K5B7	79.14053955
EOG72K5B9	14.12388467
EOG72K5BC	41.02715791
EOG72K5BF	9.339234131
