cluster	kTotal	kWithin	kOut	kDiff
EOG718V6B	31.10837988	9.318153253	21.79022663	-12.47207337
EOG718V6F	13.10830889	2.723348841	10.38496005	-7.661611204
EOG718V6G	28.52515543	12.48113555	16.04401988	-3.562884325
EOG718V6H	79.62426601	39.19503627	40.42922974	-1.234193473
EOG718V6J	68.79945441	53.72481417	15.07464024	38.65017392
EOG718V6M	92.31793357	19.27182026	73.04611331	-53.77429305
EOG718V6N	40.75633047	25.13763945	15.61869102	9.518948424
EOG718V6Q	55.80654902	13.25653636	42.55001266	-29.29347631
EOG718V6R	98.79905296	62.97000666	35.8290463	27.14096036
EOG718V6S	10.01182306	2.335365691	7.676457371	-5.341091681
EOG718V6T	62.36697959	24.09460475	38.27237484	-14.1777701
EOG718V6V	19.11200031	3.268770259	15.84323005	-12.57445979
EOG718V6W	10.96069846	2.528395421	8.432303042	-5.903907621
EOG718V6Z	23.97737341	15.62982887	8.347544545	7.282284325
EOG718V71	46.5560194	2.744153206	43.81186619	-41.06771299
EOG718V72	8.332328149	1.52884448	6.803483669	-5.274639189
EOG718V73	26.38281795	14.37490878	12.00790917	2.366999608
EOG718V74	31.13283835	15.81522282	15.31761553	0.49760729
EOG71CQF2	98.09474003	67.24297902	30.85176102	36.391218
EOG71CQF3	20.10538993	4.182776218	15.92261371	-11.73983749
EOG71CQF4	21.47121403	9.79661666	11.67459737	-1.877980715
EOG71CQF6	40.86356037	27.87729663	12.98626374	14.89103289
EOG71CQF7	48.23419961	15.59860501	32.6355946	-17.03698959
EOG71CQF8	9.379483515	2.657818359	6.721665156	-4.063846797
EOG71CQFB	115.1396235	48.8947103	66.24491316	-17.35020286
EOG71CQFC	3.89188753	0.957700733	2.934186798	-1.976486065
EOG71CQFF	64.13712951	25.9191628	38.21796671	-12.29880391
EOG71CQFG	43.45938992	8.103644267	35.35574566	-27.25210139
EOG71CQFH	60.42476953	31.54009726	28.88467228	2.655424978
EOG71CQFK	53.98744381	25.66228118	28.32516263	-2.662881446
EOG71CQFM	35.11848367	16.94782525	18.17065842	-1.222833169
EOG71CQFN	17.68604623	5.637015765	12.04903046	-6.412014699
EOG71CQFP	72.5864835	32.02413386	40.56234963	-8.538215774
EOG71CQFQ	51.81241802	8.128523108	43.68389491	-35.5553718
EOG71CQFS	46.37975219	13.52027479	32.8594774	-19.33920261
EOG71CQFT	60.81382346	48.43476219	12.37906127	36.05570092
EOG71CQFV	58.52194413	17.31223203	41.2097121	-23.89748008
EOG71CQFW	29.76368959	4.097984222	25.66570537	-21.56772114
EOG71CQFX	12.39105754	1.87702555	10.51403199	-8.637006444
EOG71CQFZ	15.0978555	1.970916828	13.12693867	-11.15602184
EOG71CQG0	23.07028675	6.708632513	16.36165424	-9.653021727
EOG71CQG5	43.15443226	12.69075569	30.46367657	-17.77292088
EOG71CQG6	48.36897651	6.462753282	41.90622322	-35.44346994
EOG71CQG8	31.21202327	8.945777885	22.26624538	-13.3204675
EOG71CQG9	40.4579951	9.790926151	30.66706895	-20.8761428
EOG71CQGB	13.55390357	2.340935552	11.21296802	-8.872032464
EOG71GKNW	12.0963952	4.751867554	7.344527651	-2.592660097
EOG71GKNX	17.75193183	3.727174823	14.024757	-10.29758218
EOG71GKP0	29.24452792	6.972566567	22.27196135	-15.29939479
EOG71GKP1	45.1831064	18.85372901	26.32937739	-7.475648387
EOG71GKP3	77.21149191	60.69400074	16.51749118	44.17650956
EOG71GKP4	24.46750247	3.991487772	20.4760147	-16.48452693
EOG71GKP7	50.26710797	8.834907333	41.43220064	-32.5972933
EOG71GKP8	30.68704911	14.5647719	16.12227721	-1.557505306
EOG71GKP9	31.66814798	7.001503517	24.66664446	-17.66514095
EOG71GKPC	25.00463931	9.834958671	15.16968064	-5.334721968
EOG71GKPD	58.98765753	11.78855863	47.1990989	-35.41054027
EOG71GKPF	7.206834682	1.833445228	5.373389453	-3.539944225
EOG71GKPG	33.4320153	15.43338631	17.99862899	-2.565242673
EOG71GKPJ	17.91038536	5.934320606	11.97606475	-6.041744146
EOG71GKPK	25.60580908	4.819057827	20.78675125	-15.96769342
EOG71GKPM	27.76053177	7.471323981	20.28920779	-12.81788381
EOG71GKPN	77.35969603	17.59922522	59.7604708	-42.16124558
EOG71GKPP	13.61604099	4.007023235	9.609017755	-5.601994519
EOG71GKPQ	37.48577821	12.55839962	24.92737859	-12.36897897
EOG71GKPR	45.14631834	21.27773468	23.86858366	-2.590848979
EOG71GKPT	64.50919232	49.67153068	14.83766164	34.83386904
EOG71GKPV	52.51310866	8.678454056	43.8346546	-35.15620055
EOG71GKPW	54.42445368	29.01706772	25.40738596	3.609681757
EOG71GKPZ	23.62379141	5.483241968	18.14054945	-12.65730748
